Track,Album Name,Artist,Release Date,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,YouTube Playlist Reach,Apple Music Playlist Count,SiriusXM Spins,Deezer Playlist Count,Amazon Playlist Count,Shazam Counts,Explicit Track
Djala Que Vuelva feat Manuel Tur,Djala Que Vuelva feat Manuel Tur,Piso 21,2017-10-20,871780891.0,56085.0,22005461.0,206887325.0,41.0,55.0,46.0,44.0,1867651.0,0
Feel the POP,You had me at HELLO,ZEROBASEONE,2024-05-13,8699917.0,533.0,10481435.0,97746040.0,5.0,9.0,4.0,25.0,11352.0,0
Diamonds,Unapologetic Edited Version,Rihanna,2012-01-01,1419912461.0,180128.0,62951327.0,404667689.0,164.0,81.0,123.0,53.0,11373333.0,0
Fuera del mercado,dannocean,Danny Ocean,2022-02-17,535013440.0,57772.0,25048190.0,339251328.0,54.0,327.0,32.0,28.0,1371874.0,1
Poor People We,Poor People We,Harp and a monkey,2022-11-28,1071.0,6.0,1694.0,176.0,28.0,86.0,15.0,17.0,23.0,0
El Cielo,El Cielo  Single,Sky Rompiendo,2023-02-06,354097795.0,53606.0,50446311.0,9653765.0,64.0,53.0,37.0,19.0,542456.0,1
ALL MY FELLAS,ALL MY FELLAS,Frizk,2023-09-19,56978899.0,19534.0,2505224.0,86472968.0,3.0,49.0,15.0,17.0,460827.0,1
Bebefinn Song,Bebefinn Song  Single,Pinkfong,2024-03-05,38895.0,8.0,611.0,97746040.0,1.0,86.0,15.0,17.0,854584.0,0
BITTERSUITE,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,58810212.0,3394.0,9510078.0,97746040.0,31.0,86.0,5.0,9.0,104093.0,0
Me Fui de Vacaciones,Un Verano Sin Ti,Bad Bunny,2022-06-05,366872354.0,61014.0,15444758.0,20198310.0,14.0,86.0,8.0,7.0,768036.0,0
Talk feat Disclosure,Talk,Khalid,2019-07-02,968194426.0,121168.0,29487473.0,364423555.0,171.0,955.0,58.0,73.0,5865620.0,0
Rompe La Dompe,Rompe La Dompe,Peso Pluma,2023-12-28,164219485.0,11966.0,20373836.0,414178081.0,15.0,86.0,16.0,11.0,184898.0,1
greedy sped up,greedy,Tate McRae,2023-09-14,21648841.0,2778.0,2506076.0,97746040.0,2.0,400.0,1.0,8.0,854584.0,1
Reloj,Reloj,Rauw Alejandro,2020-10-22,579749218.0,90725.0,22415388.0,154245751.0,89.0,13.0,22.0,23.0,1542421.0,1
Unknown,Single,Unknown,2024-03-22,2730458.0,257.0,128196.0,97746040.0,1.0,86.0,15.0,17.0,15042.0,0
Youre Mines Still feat,Youre Mines Still feat,Yung Bleu,2020-10-15,233139871.0,77694.0,13955396.0,42967196.0,53.0,57.0,5.0,5.0,523078.0,1
BADGYAL,SAKURA,SAIKO,2024-04-26,56282981.0,5849.0,51387051.0,5411568.0,25.0,86.0,11.0,5.0,279219.0,1
Sorry 4 The Wait,Sorry 4 The Wait,Lil Wayne,2022-01-14,24285898.0,8422.0,1181602.0,2034.0,1.0,86.0,1.0,17.0,211234.0,1
DILUVIO,PLAYA SATURNO,Rauw Alejandro,2023-07-07,310562790.0,33458.0,54918981.0,784575181.0,55.0,50.0,42.0,43.0,841414.0,1
ZEZE feat Travis Scott  Offset,ZEZE feat Travis Scott  Offset,Kodak Black,2018-12-10,1070685587.0,203323.0,32147932.0,84796677.0,82.0,90.0,27.0,14.0,4235259.0,1
Kesariya From Brahmastra,Kesariya From Brahmastra  Single,Pritam,2022-07-17,516740949.0,30584.0,13659510.0,174637093.0,35.0,86.0,1.0,13.0,372802.0,0
The Craving single version,The Craving single version  Single,Twenty One Pilots,2024-05-22,9084595.0,1087.0,26826278.0,59828100.0,33.0,15.0,20.0,78.0,35315.0,0
Bartolito,20 GRANDES X,Duo Tiempo de Sol,2015-05-10,70061366.0,6847.0,1133511.0,97746040.0,2.0,86.0,1.0,17.0,73794.0,0
Peaches,The Super Mario Bros Movie Original Motion Picture Soundtrack,Jack Black,2023-07-04,144252786.0,35929.0,3276465.0,17180346.0,17.0,817.0,3.0,10.0,292159.0,0
Counting stars,Until the morning 2,OneRepublic,2014-04-08,239850720.0,32312.5,13264111.5,399937303.0,28.0,86.0,1.0,17.0,854584.0,0
Take My Breath  Single Version,Take My Breath,The Weeknd,2021-05-08,465348362.0,89586.0,17062402.0,2420528253.0,151.0,489.0,46.0,44.0,854584.0,0
Lavender Haze,Midnights,Taylor Swift,2022-10-21,711138043.0,42535.0,28394531.0,97746040.0,66.0,1936.0,11.0,54.0,900372.0,1
KU LO SA  A COLORS SHOW,KU LO SA  A COLORS SHOW,Oxlade,2022-10-06,331419634.0,92569.0,17049738.0,51539371.0,116.0,86.0,47.0,41.0,4816359.0,0
Toca o Trompete,Cad o After P,Felipe Amorim,2023-07-21,166784328.0,15122.0,14569377.0,385123282.0,10.0,86.0,19.0,9.0,173558.0,1
Nobody Gets Me,SOS,SZA,2022-09-12,561645790.0,58561.0,39587642.0,325461284.0,64.0,293.0,40.0,23.0,1208187.0,1
Sleep Well,Sleep Well  Single,CG5,2024-02-16,19236234.0,1602.0,962658.0,1352193313.0,28.0,86.0,15.0,17.0,71078.0,0
Hei Apa Apa  Tik Tak Tik Tik,Nuansa Angkot 2023  Vol 1,Donny Fernanda,2023-02-14,12415.0,1.0,2.0,97746040.0,28.0,86.0,15.0,17.0,854584.0,0
Glock In My Lap,SAVAGE MODE II,21 Savage,2020-02-10,614603953.0,164722.0,24902576.0,40458162.0,25.0,86.0,18.0,3.0,2194666.0,1
overseas,overseas,Ken Carson,2024-12-04,35980441.0,7297.0,7809196.0,381728.0,6.0,191.0,15.0,3.0,82029.0,1
CORAZN VA,CORAZN VA,Maria Becerra,2023-06-22,251442618.0,19913.0,23463750.0,650020478.0,23.0,354.0,20.0,53.0,209753.0,0
PUNTO G,Punto G,Quevedo,2022-04-11,600073400.0,73593.0,22371448.0,1034742.0,24.0,50.0,13.0,29.0,529802.0,0
Muqabla From Street Dancer 3D,Muqabla From Street Dancer 3D,Yash Narvekar,2019-12-21,102668822.0,8999.0,4335630.0,236773715.0,14.0,86.0,15.0,3.0,104058.0,0
Ditto,Ditto,NewJeans,2022-12-19,614497357.0,47586.0,17245496.0,226112613.0,44.0,20.0,2.0,42.0,714871.0,0
Katchi Sera  From Think Indie,Katchi Sera From Think Indie,Sai Abhyankkar,2024-01-22,61447714.0,2592.0,5382316.0,1062214305.0,5.0,86.0,15.0,11.0,311293.0,0
Danza Kuduro  Cover,BEST CLUB 2023 TREND MIX,MUSIC LAB JPN,2023-11-24,1642258500.0,11.0,127.0,97746040.0,28.0,86.0,15.0,17.0,854584.0,1
Bubble Gum,How Sweet,NewJeans,2024-05-24,20630900.0,1536.0,9077425.0,97746040.0,21.0,5.0,2.0,10.0,33194.0,0
Abejita Chiquitita,Las Canciones de Plim Plim Vol 8,El Payaso Plim Plim,2023-08-09,5741262.0,275.0,33239.0,97746040.0,28.0,86.0,1.0,1.0,6795.0,0
Love wins all,Love wins all,IU,2024-01-24,60903416.0,4743.0,2755053.0,749176444.0,15.0,86.0,1.0,17.0,120507.0,0
PRINCESITA DE,NFASIS,Jere Klein,2023-01-12,106290197.0,11766.0,9230911.0,1565966519.0,4.0,86.0,3.0,17.0,195908.0,1
Lo Siento BB with Bad Bunny  Julieta Venegas,Lo Siento BB with Bad Bunny  Julieta Venegas,Tainy,2021-05-10,912709169.0,94302.0,33979642.0,265630925.0,69.0,265.0,18.0,35.0,1218835.0,1
BABY HELLO,BABY HELLO  Single,Rauw Alejandro,2023-06-23,268383799.0,47936.0,46787442.0,21328855.0,61.0,6.0,37.0,36.0,933823.0,1
ONE CALL,ONE CALL,Rich Amiri,2023-03-11,271566931.0,33970.0,50694559.0,9242912.0,15.0,75.0,14.0,25.0,817705.0,1
Pehle Bhi Main,ANIMAL,Vishal Mishra,2023-11-24,235472222.0,10873.0,14151452.0,299391668.0,14.0,86.0,15.0,17.0,300188.0,0
Kill Bill,Kill Bill  Single,pasa michaelson,2023-08-26,1842758768.0,1.0,1.0,97746040.0,28.0,86.0,15.0,17.0,854584.0,1
2Catorce,2Catorce,Rauw Alejandro,2021-02-14,534981600.0,92466.0,17067105.0,149174449.0,74.0,86.0,13.0,32.0,1847960.0,1
Ride,Ride,Twenty One Pilots,2015-12-05,1724766252.0,240346.0,62583866.0,186902563.0,7.0,225.0,63.0,33.0,854584.0,0
Dusk Till Dawn feat Sia,Dusk Till Dawn feat Sia  Single,ZAYN,2017-08-09,7660758.0,2412.0,584352.0,1411686500.0,28.0,2.0,15.0,5.0,854584.0,0
Rush,Rush,Troye Sivan,2023-07-13,299291405.0,45754.0,35127971.0,635932163.0,106.0,649.0,65.0,66.0,1347624.0,1
Physical,Physical,Dua Lipa,2020-01-30,967029446.0,108666.0,29267130.0,412519641.0,231.0,67.0,172.0,57.0,5988911.0,0
Pumped Up Kicks,Pumped up Kicks,Foster The People,2010-01-01,1791778314.0,344490.0,131726745.0,19949320.0,195.0,167.0,148.0,46.0,16415660.0,0
Yes Indeed,Yes Indeed,Lil Baby,2018-05-15,1110994645.0,186456.0,41273853.0,38496063.0,85.0,186.0,16.0,44.0,3561319.0,1
Open Arms feat Travis Scott,SOS,SZA,2022-08-12,418181065.0,67858.0,17377077.0,3034510.0,14.0,86.0,17.0,2.0,1272704.0,0
edamame feat Rich Brian,edamame,bbno,2021-07-24,460770585.0,137449.0,12880333.0,165344404.0,24.0,1191.0,15.0,12.0,5556466.0,1
Turn Down for What,Turn Down for What,DJ Snake,2013-12-18,547207250.0,103666.0,30719577.0,194386199.0,135.0,113.0,53.0,55.0,14799660.0,0
Calling feat A Boogie wit da Hoodie SpiderMan Across the SpiderVerse,METRO BOOMIN PRESENTS SPIDERMAN ACROSS THE SPIDERVERSE SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE,Metro Boomin,2023-02-06,234350961.0,56138.0,13361149.0,82193348.0,59.0,59.0,13.0,35.0,1068077.0,0
Smokin Out The Window,Smokin Out The Window,Bruno Mars,2021-05-11,463977298.0,100305.0,15798103.0,3233086776.0,81.0,388.0,38.0,46.0,1849092.0,0
Goin Off,Goin Off,Karan Aujla,2024-09-05,13606839.0,836.0,4594419.0,19904542.0,14.0,86.0,15.0,13.0,33780.0,0
Close To You,Close To You,Gracie Abrams,2024-07-06,13700065.0,1162.0,89144538.0,97746040.0,69.0,86.0,16.0,86.0,69456.0,0
Pagli Dekhave Agarbatti,Pagli Dekhave Agarbatti,Neelkamal Singh,2023-09-28,20981562.0,379.0,284348.0,182061559.0,28.0,86.0,15.0,17.0,854584.0,0
